config,performance,traffic
sys DO store 64B sync 256KB n 2 link 50,1.0,1.0
sys DO store 64B sync 256KB n 2 link 75,1.0,1.0
sys DO store 64B sync 256KB n 2 link 100,1.0,1.0
sys DO store 64B sync 256KB n 2 link 125,1.0,1.0
sys DO store 64B sync 256KB n 2 link 150,1.0,1.0
sys DO store 64B sync 256KB n 2 link 175,1.0,1.0
sys DO store 64B sync 256KB n 2 link 200,1.0,1.0
sys SO store 64B sync 256KB n 2 link 25,1.0067642248686974,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 50,1.0114143811988672,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 75,1.0157057033896646,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 100,1.0200066263105945,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 125,1.0244301471856296,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 150,1.028459593993708,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 175,1.0266081966678622,1.1999804706571624
sys SO store 64B sync 256KB n 2 link 200,1.0233210261698065,1.1999804706571624
sys MP store 64B sync 256KB n 2 link 25,1.0,1.0
sys MP store 64B sync 256KB n 2 link 50,1.0,1.0
sys MP store 64B sync 256KB n 2 link 75,1.0,1.0
sys MP store 64B sync 256KB n 2 link 100,1.0,1.0
sys MP store 64B sync 256KB n 2 link 125,1.0,1.0
sys MP store 64B sync 256KB n 2 link 150,1.0,1.0
sys MP store 64B sync 256KB n 2 link 175,1.0,1.0
sys MP store 64B sync 256KB n 2 link 200,1.0,1.0
sys DO store 64B sync 64B n 2 link 25,1.0,1.0
sys DO store 64B sync 64B n 2 link 50,1.0,1.0
sys DO store 64B sync 64B n 2 link 75,1.0,1.0
sys DO store 64B sync 64B n 2 link 100,1.0,1.0
sys DO store 64B sync 64B n 2 link 125,1.0,1.0
sys DO store 64B sync 64B n 2 link 150,1.0,1.0
sys DO store 64B sync 64B n 2 link 175,1.0,1.0
sys DO store 64B sync 64B n 2 link 200,1.0,1.0
sys SO store 64B sync 64B n 2 link 25,1.9808892355694228,1.1428571428571428
sys SO store 64B sync 64B n 2 link 50,2.2784152025815705,1.1428571428571428
sys SO store 64B sync 64B n 2 link 75,2.531187790311878,1.1428571428571428
sys SO store 64B sync 64B n 2 link 100,2.7489966038900895,1.1428571428571428
sys SO store 64B sync 64B n 2 link 125,2.94356005788712,1.1428571428571428
sys SO store 64B sync 64B n 2 link 150,3.1044857026697383,1.1428571428571428
sys SO store 64B sync 64B n 2 link 175,3.252171691364333,1.1428571428571428
sys SO store 64B sync 64B n 2 link 200,3.38342594829669,1.1428571428571428
sys MP store 64B sync 64B n 2 link 25,1.0,1.0
sys MP store 64B sync 64B n 2 link 50,1.0,1.0
sys MP store 64B sync 64B n 2 link 75,1.0,1.0
sys MP store 64B sync 64B n 2 link 100,1.0,1.0
sys MP store 64B sync 64B n 2 link 125,1.0,1.0
sys MP store 64B sync 64B n 2 link 150,1.0,1.0
sys MP store 64B sync 64B n 2 link 175,1.0,1.0
sys MP store 64B sync 64B n 2 link 200,1.0,1.0
sys DO store 64B sync 64B n 4 link 25,1.0,1.0
sys DO store 64B sync 64B n 4 link 50,1.0,1.0
sys DO store 64B sync 64B n 4 link 75,1.0,1.0
sys DO store 64B sync 64B n 4 link 100,1.0,1.0
sys DO store 64B sync 64B n 4 link 125,1.0,1.0
sys DO store 64B sync 64B n 4 link 150,1.0,1.0
sys DO store 64B sync 64B n 4 link 175,1.0,1.0
sys DO store 64B sync 64B n 4 link 200,1.0,1.0
sys SO store 64B sync 64B n 4 link 25,1.4436600597339126,0.7466666666666667
sys SO store 64B sync 64B n 4 link 50,1.4845916795069338,0.7466666666666667
sys SO store 64B sync 64B n 4 link 75,1.504605747973471,0.7466666666666667
sys SO store 64B sync 64B n 4 link 100,1.5109080885248485,0.7466666666666667
